id_abjad,id,id_band,nama_band,judul
2,55403,113,Avenged Sevenfold,Bat Country
2,5699,113,Avenged Sevenfold,Bat Country Acoustic
2,8626,1481,Apo Hiking Society,Batang Bata Ka Pa
2,62,21,Afgan,Bawalah Cintaku
2,42357,4692,Afgan & Raisa,Bawalah Cintaku
2,8627,1481,Apo Hiking Society,Bawat Bata
2,55383,71,Anggun,Bayang
2,51138,71,Anggun,Bayang Bayang Ilusi
2,56487,4741,Anroys,Bayang Bayang Rindu
2,42565,4741,Anroys,Bayang Bayang Rindu Lagu Minang
2,5626,71,Anggun,Bayang Ilusi
2,7758,1407,Alice Cooper,Bb On Mars
2,43792,1424,Andrew Jackson Jihad,Be Afraid Of Jesus
2,8523,1468,Atif Aslam,Be Intehaan
2,53,15,Aditya,Be mine
2,7773,1407,Alice Cooper,Be My Lover
2,5666,36,Akon,Be With You
2,7774,1407,Alice Cooper,Be With You Awhile
2,317,113,Avenged Sevenfold,Beast And The Harlot [Full Tab]
2,58491,6588,Aydrus,Beautiful
2,8494,1465,Aj Rafael,Beautiful Escape
2,43562,1407,Alice Cooper,Beautiful Flyaway
2,7931,1416,Ataris,Beautiful Mistake
2,7724,1404,Afi,Beautiful Thieves
2,55373,39,Alexa,Bebas
2,55575,5887,Ahmad Dhani feat Chyntia Sari,Bebaskan
2,5640,98,Armada,Bebaskan Diriku
2,43605,1410,Against Me,Because Of The Shame
2,43658,1413,All American Rejects,Beekeepers Daughter
2,53983,5569,Akb48,Beginner
2,43606,1410,Against Me,Beginning In An Ending
2,60430,7203,Aoi,Behind
2,8451,1460,Amos Lee,Behind Me Now
2,3913,11,Ada Band,Beib
2,20,11,Ada Band,Belahan Jiwa
2,59284,6747,Ary Kencana,Beli Kuli Luh
2,7878,1413,All American Rejects,Believe
2,8354,1450,Audio Adrenaline,Believer
2,8061,1424,Andrew Jackson Jihad,Bells And Whistles
2,7759,1407,Alice Cooper,Below Your Means
2,53609,5435,Almanar,Bencana Aidds
2,59502,5662,Aiman Tino,Benci
2,59447,5313,Abad 21,Benci Tapi Cinta
2,8602,1478,Allstar Weekend,Bend Or Break
2,60205,6882,Alvi Ananta,Bengkung
2,51158,98,Armada,Berdoa Untuk Semua
2,11,8,Acha dan Irwansyah,Berdua Pasti Lebih Baik
2,51092,9,Acha Septriasa,Berdua Pasti Lebih Baik
2,187,71,Anggun,Berganti Hati
2,60707,7271,Andika Mahesa,Berharap Bintang
2,57728,6319,Alga Band,Berharap Kembali
2,60670,7345,Akustik Westprog,Berharap Kembali
2,51166,98,Armada,Berhati besar
2,205,75,Anji,Berhenti Di Kamu
2,55074,5801,Ari Reda,Berjaga Padamukah Lampu Lampu Ini Cintaku
2,41630,4445,Angkasa Band,Berjanjilah
2,88,27,Agnes Monica feat Andy Rif,Berkelana Ke Ujung Dunia
